repo,stars,forks,watchers,open_issues,language,license,archived,disabled,created_at,updated_at,pushed_at,size_kb,has_wiki,has_pages,default_branch,topics,homepage,description,html_url,contributors,closed_issues,issue_resolution_rate,days_since_last_update,commits_window,stars_n,commits_n,contributors_n,issues_n,staleness_n,readme_score,ci_test_score,domain,domain_weight,composite_v2,key,bench_score,pass_score,latency_score,final_score
plotly/dash,24206,2225,422,577,Python,MIT,False,False,2015-04-10T01:53:08Z,2025-10-28T14:45:31Z,2025-10-28T18:50:25Z,188253,False,False,dev,bioinformatics;charting;dash;data-science;data-visualization;finance;flask;gui-framework;jupyter;modeling;plotly;plotly-dash;productivity;python;react;rstats;technical-computing;web-app,https://plotly.com/dash,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,0,0,0.0,1,0,1.0,0.0,0.0,0.0,0.99906015037594,0.6000000000000001,0.0,other,1.0,0.389906015037594,dash,0.9996,1.0,0.9986666666666668,0.5728142105263158
deepchem/deepchem,6289,1928,141,835,Python,MIT,False,False,2015-09-24T23:20:28Z,2025-10-28T17:55:39Z,2025-10-27T18:42:30Z,595246,True,False,master,biology;deep-learning;drug-discovery;hacktoberfest;materials-science;quantum-chemistry,https://deepchem.io/,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",https://github.com/deepchem/deepchem,0,0,0.0,2,0,0.2582795164762378,0.0,0.0,0.0,0.9981203007518796,1.0,0.0,bio,1.0,0.3014679333704355,deepchem,0.9996,1.0,0.9986666666666668,0.5109075533593048
allenai/scispacy,1894,247,45,38,Python,Apache-2.0,False,False,2018-09-24T21:45:52Z,2025-10-28T22:01:28Z,2025-10-01T06:18:20Z,248878,True,True,main,bioinformatics;biomedical;custom-pipes;nlp;scientific-documents;spacy,https://allenai.github.io/scispacy/,A full spaCy pipeline and models for scientific/biomedical documents.,https://github.com/allenai/scispacy,0,0,0.0,28,0,0.0763371419109124,0.0,0.0,0.0,0.9736842105263158,1.0,0.0,bio,1.0,0.262635849434814,scispacy,0.9996,1.0,0.9986666666666668,0.4837250946043697
owkin/PyDESeq2,687,79,9,46,Python,MIT,False,False,2022-11-22T17:14:11Z,2025-10-28T15:15:29Z,2025-10-28T15:47:24Z,1457,True,False,main,bioinformatics;differential-expression;python;rna-seq;transcriptomics,https://pydeseq2.readthedocs.io/en/stable/,A Python implementation of the DESeq2 pipeline for bulk RNA-seq DEA.,https://github.com/owkin/PyDESeq2,0,0,0.0,1,0,0.0263702599768173,0.0,0.0,0.0,0.99906015037594,1.0,0.0,bio,1.0,0.2551800670329575,pydeseq2,0.9992,1.0,0.9973333333333332,0.4783860469230702
moshi4/pyCirclize,988,54,8,4,Python,MIT,False,False,2022-12-17T09:21:45Z,2025-10-29T01:05:48Z,2025-10-03T18:12:45Z,61283,False,True,main,bioinformatics;chord-diagram;circos;comparative-genomics;data-visualization;dataviz;genomics;genomics-visualization;matplotlib;microbial-genomics;phylogenetic-trees;python;radar-chart;visualization,https://moshi4.github.io/pyCirclize/,"Circular visualization in Python (Circos Plot, Chord Diagram, Radar Chart)",https://github.com/moshi4/pyCirclize,0,0,0.0,26,0,0.0388309322735552,0.0,0.0,0.0,0.975563909774436,1.0,0.0,other,1.0,0.2553225774321546,pycirclize,0.9796,1.0,0.932,0.4726058042025082
ParmEd/ParmEd,439,163,30,211,Python,,False,False,2014-03-01T04:37:42Z,2025-10-20T02:29:25Z,2025-08-27T17:25:35Z,170787,True,True,master,,https://parmed.github.io/ParmEd,Parameter/topology editor and molecular simulator,https://github.com/ParmEd/ParmEd,0,0,0.0,63,0,0.0161036595462824,0.0,0.0,0.0,0.9407894736842104,1.0,0.0,ml,1.05,0.2596646632415614,parmed,0.9648,1.0,0.8826666666666667,0.4712052642690929
ialbert/bio,74,15,4,0,Python,MIT,False,False,2020-08-01T12:43:26Z,2025-10-15T14:14:31Z,2025-10-15T14:14:27Z,8195,True,False,master,,,Making bioinformatics fun again,https://github.com/ialbert/bio,0,0,,14,0,0.0009935419771485,0.0,0.0,0.0,0.986842105263158,0.91056,0.0,bio,1.0,0.2354669189217455,bio,1.0,1.0,1.0,0.4648268432452218
danforthcenter/plantcv,734,271,45,124,Python,MPL-2.0,False,False,2014-03-14T18:24:23Z,2025-10-28T15:56:31Z,2025-10-28T20:25:24Z,544702,False,False,main,bioinformatics;image-analysis;plant-phenotyping;plantcv;science,,Plant phenotyping with image analysis,https://github.com/danforthcenter/plantcv,0,0,0.0,0,0,0.0283159463487332,0.0,0.0,0.0,1.0,0.7400000000000001,0.0,ml,1.05,0.227496348733234,plantcv,0.9992,1.0,0.9973333333333332,0.4590074441132638
datamol-io/datamol,514,55,14,13,Python,Apache-2.0,False,False,2021-02-23T15:39:33Z,2025-10-18T06:20:12Z,2024-06-10T19:22:38Z,119384,False,True,main,cheminformatics;drug-design;drug-discovery;medicinal-chemistry;molecule;molecules;python;rdkit,https://docs.datamol.io,Molecular Processing Made Easy.,https://github.com/datamol-io/datamol,0,0,0.0,506,0,0.0192084782248716,0.0,0.0,0.0,0.5244360902255639,1.0,0.0,other,1.0,0.2062853046675307,datamol,0.998,1.0,0.9933333333333332,0.4437997132672714
PennyLaneAI/pennylane,2856,706,47,441,Python,Apache-2.0,False,False,2018-04-17T16:45:42Z,2025-10-28T21:29:42Z,2025-10-29T00:27:32Z,150743,False,False,master,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;tensorflow,https://pennylane.ai,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research.",https://github.com/PennyLaneAI/pennylane,0,0,0.0,0,0,0.1161616161616161,0.0,0.0,0.0,1.0,1.0,0.0,chem,0.95,0.259570707070707,pennylane,0.7,1.0,0.0,0.3916994949494948
